Time(s),CH1V,CH2V
8.100000e-02,6.000000e-03,-1.405333e-02
8.120000e-02,1.126667e-02,-1.778667e-02
8.140000e-02,-7.266667e-03,-4.026667e-03
8.160000e-02,-6.066667e-03,-9.146667e-03
8.180000e-02,5.466667e-03,2.853333e-03
8.200000e-02,-8.000000e-03,5.333333e-05
8.220000e-02,4.533333e-03,2.746667e-02
8.240000e-02,-8.666667e-03,2.312000e-02
8.260000e-02,4.800000e-03,3.682667e-02
8.280000e-02,5.600000e-03,3.298667e-02
8.300000e-02,-9.333333e-03,1.074667e-02
8.320000e-02,5.600000e-03,1.277333e-02
8.340000e-02,-8.933334e-03,-1.938667e-02
8.360000e-02,4.400000e-03,-1.626667e-02
8.380000e-02,-7.866667e-03,-4.536000e-02
8.400000e-02,-6.333333e-03,-5.154667e-02
8.420000e-02,5.066667e-03,-3.850667e-02
8.440000e-02,-6.333333e-03,-4.186667e-02
8.460000e-02,5.733334e-03,-3.109333e-02
8.480000e-02,6.133333e-03,-2.920000e-02
8.500000e-02,-1.026667e-02,-3.666667e-02
8.520000e-02,6.933333e-03,-3.394667e-02
8.540000e-02,-8.400000e-03,-1.354667e-02
8.560000e-02,6.266667e-03,-1.845333e-02
8.580000e-02,-5.800000e-03,1.002667e-02
8.600000e-02,4.533333e-03,7.813334e-03
8.620000e-02,-5.533333e-03,2.818667e-02
8.640000e-02,-9.333333e-03,2.384000e-02
8.660000e-02,5.733334e-03,3.394667e-02
8.680000e-02,-7.866667e-03,3.200000e-02
8.700000e-02,5.866667e-03,3.893333e-03
8.720000e-02,6.000000e-03,7.013333e-03
8.740000e-02,-8.133333e-03,-2.045333e-02
8.760000e-02,5.200000e-03,-1.594667e-02
8.780000e-02,-8.533333e-03,-2.914667e-02
8.800000e-02,6.266667e-03,-2.296000e-02
8.820000e-02,-6.200000e-03,-3.365333e-02
8.840000e-02,5.600000e-03,-2.986667e-02
8.860000e-02,-6.066667e-03,-3.706667e-02
8.880000e-02,-5.133334e-03,-3.957333e-02
8.900000e-02,1.380000e-02,-3.194667e-02
8.920000e-02,-4.866667e-03,-3.773334e-02
8.940000e-02,8.733333e-03,-2.061333e-02
8.960000e-02,-6.600000e-03,-2.336000e-02
8.980000e-02,6.800000e-03,5.226667e-03
9.000000e-02,7.066667e-03,3.840000e-03
9.020000e-02,-6.066667e-03,2.168000e-02
9.040000e-02,6.133333e-03,2.408000e-02
9.060000e-02,-6.200000e-03,1.064000e-02
9.080000e-02,6.266667e-03,1.565333e-02
9.100000e-02,-5.400000e-03,4.560000e-03
9.120000e-02,6.533334e-03,7.866667e-03
9.140000e-02,-7.000000e-03,-3.226667e-03
9.160000e-02,-7.266667e-03,2.133333e-04
9.180000e-02,6.133333e-03,-1.048000e-02
9.200000e-02,-5.266667e-03,-7.626667e-03
9.220000e-02,4.400000e-03,-2.301333e-02
9.240000e-02,6.133333e-03,-2.010667e-02
9.260000e-02,-4.866667e-03,-4.424000e-02
9.280000e-02,8.466667e-03,-3.845333e-02
9.300000e-02,-8.800000e-03,-4.976000e-02
9.320000e-02,-5.666667e-03,-4.525333e-02
9.340000e-02,5.200000e-03,-2.128000e-02
9.360000e-02,-5.666667e-03,-2.568000e-02
9.380000e-02,7.933334e-03,-3.173333e-03
9.400000e-02,-4.866667e-03,-6.693333e-03
9.420000e-02,6.266667e-03,1.042667e-02
9.440000e-02,-7.133333e-03,4.666667e-03
9.460000e-02,6.133333e-03,1.576000e-02
9.480000e-02,6.800000e-03,1.576000e-02
9.500000e-02,-5.800000e-03,6.960000e-03
9.520000e-02,-7.533333e-03,9.200000e-03
9.540000e-02,9.266667e-03,1.810667e-02
9.560000e-02,-5.666667e-03,1.509333e-02
9.580000e-02,6.533334e-03,-4.640000e-03
9.600000e-02,-4.866667e-03,-8.800000e-04
9.620000e-02,4.933333e-03,-2.904000e-02
9.640000e-02,4.266667e-03,-2.658667e-02
9.660000e-02,-4.866667e-03,-4.314667e-02
9.680000e-02,-7.000000e-03,-4.682667e-02
9.700000e-02,6.933333e-03,-3.818667e-02
9.720000e-02,-6.466667e-03,-4.248000e-02
9.740000e-02,4.000000e-03,-2.413333e-02
9.760000e-02,6.800000e-03,-2.618667e-02
9.780000e-02,-7.866667e-03,-8.480000e-03
9.800000e-02,4.666667e-03,-1.186667e-02
9.820000e-02,-5.266667e-03,1.600000e-04
9.840000e-02,-5.400000e-03,-3.280000e-03
9.860000e-02,5.466667e-03,1.258667e-02
9.880000e-02,4.933333e-03,1.037333e-02
9.900000e-02,-6.600000e-03,2.250667e-02
9.920000e-02,5.066667e-03,2.341333e-02
9.940000e-02,-6.733333e-03,1.314667e-02
9.960000e-02,-8.933334e-03,1.442667e-02
9.980000e-02,1.073333e-02,-5.626667e-03
1.000000e-01,-5.400000e-03,-8.800000e-04
1.002000e-01,6.266667e-03,-2.613333e-02
